"","BB","SM","HTA","SE","Geschlecht","Alter","HöchsterBildungsabschluss","Studienhauptfach","Beschreiben Sie hier Ihre Vorstellung der Funktionsweise.","Verwendungsfreq","Zweck","Vorkenntnisse","Art","Begründen Sie knapp Ihre obige Auswahl (optional). - Black Box","Begründen Sie knapp Ihre obige Auswahl (optional). 2","Begründen Sie knapp Ihre obige Auswahl (optional). 3","Begründen Sie knapp Ihre obige Auswahl (optional). 4","ID","Rater1","Rater2","Rater3","Rater4","Kategorie"
"11",4,2,5,3,"männlich",26,"Abitur","Medieninformatik","Ich stelle mir vor, dass ChatGPT meine Anfrage in natürlicher Sprache analysiert und wichtige Stichwörter wie Reiseziel, Zeitraum, Budget und weitere Wünsche erkennt. Diese Angaben werden in Suchkriterien umgewandelt. Daraufhin greift ChatGPT auf verschiedene Hotel- und Bewertungsdatenbanken zu, prüft Verfügbarkeit und Preise für das gewünschte Wochenende und filtert passende Angebote heraus. Die gefundenen Hotels werden anhand von Kriterien vom Prompt miteinander verglichen. Und zum Schluss formuliert ChatGPT daraus eine Empfehlung und präsentiert mir das passende Hotel für meinen Aufenthalt in Rom.","1-6 Mal pro Woche","Schreiben, Informationssuche, Selbstausdruck",3,"DeepSeek, Claude, ChatGPT","Der Denkprozess von ChatGPT wird kurz angezeigt, aber nicht vollständig",NA,NA,NA,11,3,NA,3,NA,"HTA"
"12",3,5,1,4,"männlich",25,"Abitur","Medieninformatik","Wahrscheinlichsten Intent des Nutzers ermitteln. Diesen einer MCP Schnittstelle zuordnen dort vermutlich liste von angeboten erhalten. Das Ergebnis nach Wahrscheinlichkeit zur Prompt ordnen. Und Ausgabe anhand der API daten formatieren.","1-6 Mal pro Woche","Informationssuche",3,"ChatGPT, Gemini","Sie sind statistische Funktionen die aber so komplex sind das eine detailierte Vorraussage anhand von Struktur und daten unmöglich ist.
Man kann zwar strukturierte Vermutungen anstellen (aufgrund ihrer Funktionalität) aber ohne Übersicht aller trainingsdaten und Kontexte wird genaueres Vorhersagen unmöglich.","Es nutzt Wahrscheinlichkeiten. Das ist der ganze Kern dieser Technologie","Lediglich ermittlung was wahrscheinlich gesehen werden will basierend auf trainingsdaten. Es gibt keinerlei Verständnis daher auch kein Denken","Auch reguläre Suchmaschinen suchen die wahrscheinlichsten Ergebnisse anhand der spezifizierten Inputs/Tags.",12,NA,2,NA,3,"HTA"
"13",4,5,2,3,"weiblich",21,"Abitur","Informationswissenschaft","Der Nutzer gibt eine Suchanfrage an, wo das Hotel sein soll, wie viele Sterne es haben soll und von wann bis wann die Reise gehen soll. das KI-System analysiert dann was der Nutzer von ihm will und fragt dann selbst bei verschiedenen Webseiten nach so einem passenden Hotel an, die Webseiten geben dem KI-System dann eine Antwort und dann beginnt die KI nach dem besten Ergebnis ihrer Meinung nach zu suchen, diese Ergebnis gibt es dann den Nutzer mit den geforderten Anforderungen weiter.","1-6 Mal pro Woche","Praktische Hilfestellung, Technische Hilfe",2,"Gemini, ChatGPT","Wir sehen meistens nur das fertige Ergebnis im Chat und selbst die Experten können wahrscheinlich die genauen Rechenwege der KI nicht ganz nachvollziehen.","Die KI hat an sich kein eigenes Wissen und berechnet an sich die Antworten meist anhand von Wahrscheinlichkeiten.",NA,NA,13,2,NA,2,NA,"SM"
"14",5,3,3,2,"männlich",28,"Abitur","Medieninformatik","Der User schickt eine Sucheanfrage, das System vollführt erstmal eine NLP-Pipeline um die Anfrage zu verstehen. Dann schaut er nach den passendem Tool/API und schickt einen Aufruf (Request) und bekommt von der Webseite/Tool eine Liste zurückgegeben. Es werden dann mehrere Ergebnisse neu gerankt basierend auf die Query. Am Ende bekommt der User eine Antwort mit den wichtigsten Informationen zurück.","1-6 Mal pro Woche","Schreiben, Praktische Hilfestellung, Technische Hilfe, Multimedia, Informationssuche",3,"ChatGPT",NA,NA,NA,NA,14,NA,3,NA,3,"HTA"
"15",2,5,2,3,"weiblich",26,"Abitur","Medieninformatik","Ich stelle mir vor, dass wenn ich meine Frage in das Textfeld eingebe, ChatGPT die ihm zu dieser Zeit zugänglichen Datenbanken durchforstet, um eine geeignete Antwort zu meinem Problem zu finden. Je nach künstlicher Intelligenz gibt es hierbei verschiedene Datenbanken, auf die zugegriffen werden kann. Danach werden zunächst die relevantesten Ergebnisse herausgesucht und gefiltert. Dabei wird auf Stichworte eingegangen, die ich in meiner Fragestellung verwendet habe. Anschließend bemüht sich die künstliche Inzelligenz um eine passende Formulierung der Antwort und präsentiert zuletzt die Ergebnisse. Ich habe hierzu einfach einen PC gemalt, da ich mir vorstelle, dass alle diese Schritte innerhalb eines Computers stattfinden. In diesem sind quasi sämtliche zugängliche Datenbanken gespeichert und auf diese kann jederzeit zugegriffen werden. Das Bild mag jetzt nicht künstlerisch aufwendig sein, zeigt jedoch mein ""mental image"" zu ChatGPT sehr gut.","Weniger als 1 Mal pro Monat","Praktische Hilfestellung",3,"ChatGPT","Ich finde, dass man wenn man sich mit den internen Vorgängen einmal beschäftigt, relativ gut nachvollziehen kann, wie diese funktionieren. Besonders in einem Studiengang der Informatik lernt man hierzu ausreichend.","Ist das nicht genau die Beschreibung eines Large Language Models?","Sie können lediglich auf die Informationen zugreifen, die ihnen zugänglich gemacht werden. Das macht sie noch lange nicht zu Menschen und dass KI-Chatbots Agenten sein sollen ist meiner Meinung nach eine wilde Verschwörungstheorie.","Ja und nein, man kann sie als solche verwenden, muss sich jedoch bewusst sein, dass das nicht dasselbe ist wie z.B. Google Scholar zu verwenden.",15,2,NA,2,NA,"SM"
"16",4,5,1,1,"männlich",24,"Bachelor","Medieninformatik","Aus der Anfrage werden Stichwörter zu Daten extrahiert, die Datenbank von Expedia wird angefragt, und die Daten, die dadurch gewonnen wurden, werden in einen Fließtext gepackt.","1-3 Mal pro Monat","Schreiben",3,"ChatGPT","Man kann aus der Ausgabe und z.B. den getätigten Requests Rückschlüsse daraus ziehen, wie eine Antwort entstanden ist, aber die genaue Zusammensetzung ist nicht rekonstruierbar","So wird ein NN halt trainiert. Wenn ein Output wahrscheinlich genau so auf den Input folgen würde, dann ist das ein guter Output und das System soll mehr davon produzieren.","Chatbots sind Sprachmodelle. Sie beschreiben nur, wie menschliche Sprache normalerweise aussieht, und konstruieren daraus eine Antwort.","Suchmaschinen sind Programme, die die Inhalte von Websites und die Graphstruktur des WWW indexieren. Chatbots sind Neuronale Netzwerke, die etwas anderes machen. Chatbots benutzen vielleicht Suchmaschinen, um Antworten zu erstellen, aber sind selbst keine.",16,NA,4,NA,4,"SE"
"17",4,4,1,3,"männlich",23,"Abitur","Informationswissenschaft","Der User schildert sein Anliegen in Form einer Textnachricht und sendet diese an ChatGPT. ChatGPT durchsucht diese Nachricht nach sprachlichen Zusammenhängen, woraufhin ChatGPT sich das Bedürfnis des Users erschließen kann. Zentrale sprachliche Zusammenhänge wären z.B. ""von diesem Freitag bis Sonntag"", ""Urlaub in Rom"", ""ein einziges 2-Sterne-Hotel"" und ""Option, es gleich zu buchen"". Auf Basis bereits vorhandener Dokumente im Internet, in denen diese sprachlichen Muster vorkommen, wird die Relevanz dieser Wörter erkannt. Anschließend wird auf Basis dieser als wichtig eingestuften Muster eine Suche im Internet durchgeführt und nach einem möglichst relevanten Treffer gesucht, der alle Kriterien / Bedürfnisse des Users möglichst gut erfüllt. Die Relevanz wird dabei mathematisch ermittelt. Gleichzeitig wird mit Hilfe des Trainingswissens von ChatGPT anhand der sprachlichen Muster der Nachricht ermittelt, was für eine Art von Antwort gewünscht ist. Dadurch wird eine Antwort generiert, die einen menschlichen Chat-Partner, der freundlich und nicht zu knapp antwortet und auch kompetent auf den User wirken soll.","1-6 Mal pro Woche","Schreiben, Praktische Hilfestellung, Technische Hilfe, Informationssuche",3,"Gemini, ChatGPT, manchmal Duck AI",NA,NA,NA,NA,17,2,NA,NA,3,"SM"
"18",5,4,1,2,"männlich",28,"Master","Medieninformatik","Nutzer gibt Fragestellung/Prompt bei ChatGPT im Browser ein. Intern wandelt GPT die Fragestellung in Token/Vektoren um. Möglichkeit A: GPT gibt anhand von Trainingsdaten die wahrscheinlichste Antwort. Möglichkeit B: GPT nutzt DeepResearch und sucht mithilfe von Agenten aktuelle Beiträge im Internet, um die Frage mit aktuellen Daten zu beantworten. Die Antwort wird anschließend wieder im Chat mit GPT dargestellt.","1-6 Mal pro Woche","Schreiben, Praktische Hilfestellung, Technische Hilfe",4,"ChatGPT","Bei solchen ChatBots gibt es eine riesige Anzahl an Trainingsparametern außerdem werden bei solchen Modellen auch neuronale Netzwerke mit vielen Layern verwendet, was die Nachvollziehbarkeit erschwert.","Anhand von der Vielzahl an Trainingsdaten sucht das Modell nach ähnlichen Fragen bzw. Antworten oder Texten, die sehr nahe am Prompt sind und versucht die beste/wahrscheinlichste Antwort zu liefern.","Haben keinen eigenen Willen, verstehen Zusammenhänge nicht, Antworten mit Wahrscheinlichkeiten basierend auf den Trainingsdaten.","Diese Bots antworten eigentlich nur mithilfe von dem erlernten Wissen. Mithilfe von Agenten /DeepResearch können diese Modelle auch auf aktuelle Daten im Internet zugreifen.",18,NA,2,2,NA,"SM"
"19",2,3,2,2,"männlich",31,"Abitur","Medieninformatik","LLM sucht mit vertraute Suchmaschinen nach Ergebnisse und da es in dem Fall das einzige spezifische das Datum und die Sterne vom Hotel sind, nimmt er vielleicht gleich eins von den ersten Ergebnise zurück. Er postet noch Fotos, weil er weiss, dass beim Wort ""Hotel"" Fotos wichtig sind. Ausserdem nimmt er noch die Wörter, die mit Hotel oft verbunden sind, wie Preis usw und gibt das auch zurück.","Mindestens 1 Mal pro Tag","Schreiben, Praktische Hilfestellung, Technische Hilfe, Informationssuche, Selbstausdruck",4,"Gemini, ChatGPT","Wir als Studenten wissen wie LLMs ungefähr funktionieren, aber Menschen, die sich damit nie beschäftigt haben, haben meiner Meinung nach, gar keine Ahnung wie Chatbots Funtkionieren.","Es kommt drauf an was für Prompts man benutzt. Um so spezifischer man ist, desto weniger stochastisch sind die Maschinen.","Chatbots sind intelligent, da man nicht mehr merken kann, ob man mit einem Mensch schreibt/redet. Obwohl sie nicht wie Menschen denken, finde ich, dass was ich vorher geschrieben habe, schon genug ist, um zu sagen, dass die Chatbots intelligent sind.","Stimme ich auch zu. Sie liefern nicht in 100% von den Fällen die korrekte Antwort, aber liefern viel schneller eine und man muss nicht lange nach etwas suchen.",19,NA,4,NA,3,"HTA"
"20",5,5,3,4,"männlich",24,"Bachelor","Medieninformatik","User stellt die Frage, diese wird an das LLM gesendet. LLM nutzt bereits das Wissen das es hat und sucht im Internet automatisch nach Quellen oder Travel-Anbietern um einen aktuellen Kontext zu erhalten. Eventuell ein integrativer Prozess. Informationen werden anschließend gebündelt und als Markdown an UI zurück gegeben","Mindestens 1 Mal pro Tag","Schreiben, Praktische Hilfestellung, Technische Hilfe",3,"ChatGPT, Copilot, Claude, Gemini","Mittlerweile sind die Datenmodelle so groß und komplex, dass man nicht mehr nachvollziehen kann wie die KI Informationen filtern und agiert.","Die Textgenerierung wird anhand des nächsten wahrscheinlichen Wortes erstellt.","Sie formulieren den Text menschenähnlich, sind aber noch keine vollwertigen Agenten die alles autonom machen können.","Bessere und einfachere Suchmaschine als Google, vor allem wenn man einen groben Überblick über gewisse Sachen haben möchte.",20,2,NA,2,NA,"SM"
"21",5,5,2,3,"weiblich",25,"Abitur","Medieninformatik","Ich glaube zuerst stellt ein User eine Frage, dann wird das bisher eingespeiste Wissen von ChatGPT durchforstet und gleichzeitig das Internet. Ich glaube dabei nicht, dass die ChatGPT das Internet wie wir Menschen nutzt, sondern parallel und gleichzeitig sucht. Nachdem diese beiden Vorgänge beide abgeschlossen wurden, wird aus den beiden Ergebnissen eine Antwortmöglichkeit mit eventuell Links und oder Bildern generiert. Dabei sind Links und Bilder nur eine generierte Wahrscheinlichkeit und nicht direkt aus dem Internet kopiert.","1-6 Mal pro Woche","Schreiben, Praktische Hilfestellung, Technische Hilfe",4,"ChatGPT, Copilot","Es gibt keine Angaben durch welches eingespeiste Wissen die jeweilige Antwort generiert wurde.","Ich glaube, KI-Bots berechnen ihre Antworten nach Wahrscheinlichkeit mit Hilfe von eingespeistem Wissen.","Nein, glaube ich nicht, aber die Antworten lassen vermuten, dass dem so wäre.","Eigentlich nicht, aber in gewisser Weise doch, denn viele Menschen nutzen sie anstatt von Suchmaschinen und man bekommt eine gesuchte Antwort auf eine Frage.",21,NA,NA,2,3,"SM"
"22",5,1,3,5,"weiblich",24,"Abitur","Rechtswissenschaften","schwierig. ich denke es werden viele verschiedene suchbegriffe eingegeben und millionen quellen ausgewertet.","Mindestens 1 Mal pro Tag","Schreiben, Praktische Hilfestellung, Technische Hilfe, Informationssuche",1,"ChatGPT, Notebook LM",NA,NA,NA,"ich benutze fast nur noch KI wenn ich etwas googlen möchte",22,4,1,NA,NA,"SE"
"23",2,2,5,3,"weiblich",22,"Abitur","Psychologie","Die KI erhält eine Frage, analysiert die Bestandteile dieser Frage, sucht im Internet nach Quellen, die häufig mit den in der Frage genannten Informationen im Zusammenhang stehen, fasst die Quelle zusammen mit den typischerweise gefragten Fakten, versichert sich bei der fragenden Person, ob alles wichtige genannt wurde, weitere Fragen im Zusammenhang existieren und berücksichtigt die Antwort für zukünftige ähnliche Anfragen","1-6 Mal pro Woche","Schreiben, Technische Hilfe",2,"Gemini, ChatGPT","mangelndes Fachwissen","Algorithmus der mit Wahrscheinlichkeiten arbeitet","Keine eigenen Gedanken","können auf Suchmaschinen zugreifen",23,2,NA,2,NA,"SM"
"24",4,3,1,4,"weiblich",20,"Abitur","Forstingenieurswesen","Die KI sucht nach zur Anfrage passenden Websites und gibt die daraus resultierenden Informationen weiter","Weniger als 1 Mal pro Monat","Informationssuche",3,"Gemini",NA,NA,NA,NA,24,NA,4,NA,4,"SE"
"25",4,5,1,3,"weiblich",26,"Bachelor","Digital Humanities","Ich stelle mir das (ohne den genauen Ablauf noch die Komplexität zu kennen) so vor: Die Inhalte der Sucheanfrage werden in einen Transformer geladen, der basierend auf Kontextwissen die relevanten Details der Suchanfrage (was wo wann wie genau usw.) herausfiltert und dann eine entsprechende Suchanfrage erstellt (möglicherweise ist Expedia auch schon ein Partner von OpenAI und scheint daher zuerst auf. Ich kann mir auch vorstellen, dass es bspw. von Bookingseiten erwünscht ist, dass besonders teure Hotels vorgeschlagen werden (145 Dollar pro Nacht für 2 Sterne klingt etwas viel und passt irgendwie auch nicht ganz zusammen)? Auf der anderen Seite ist das Modell vll auch so eingestellt (oder wurde so trainiert / hat es gelernt), dass es einfach das am besten bewerteste Angebot nimmt, weil das vorher schon gut angekommen ist. Das HTML der Webseite wird nach den passenden Schlagwörtern durchsucht; evtl. wird sogar nicht mal auf irgendeinem Reasoning basierend ausgewählt, sondern einfach das erste Angebot verwendet, das die gewünschten Tags / Wörter oder evtl. ähnliche Wörter enthält. Das + Link wird ans LLM zurückgemeldet, das aus den Infos einen Text bastelt, der wahrscheinlich passend ist (i.e. Sehenswürdigkeiten zu Fuß erkunden, Flüge) und den Link zur Webseite  einfügt.","1-6 Mal pro Woche","Schreiben, Technische Hilfe",3,"Claude, Gemini, Perplexity","Selbst wenn man sich einigermaßen einliest, kann man nur vermuten, warum das Modell bestimmte 'Rückschlüsse (bspw. bei Suchanfragen) zieht', und wie es dabei von kommerziellen Interessen beeinflusst wird, weiß man (im Gegensatz zu gesponserten Suchergebnissen bei Google oder dem bekannten Google SEO Ranking) auch nicht. Ob das ganze nur komplett wahrscheinlichkeitsbasiert ist (i.e. basierend auf früherem Nutzerfeedback), weiß man entsprechend auch nicht.","Sowohl Transformer als auch das generative LLM spucken Kontext und Inhalte basierend auf errechneten Wahrscheinlichkeiten von Co-Occurences einer Wissensbasis aus.","Einem Algorithmus menschenähnliche 'Features' zu verleihen, halte ich für gefährlich. Chatbots mögen Menschen mimen (weil sie mit menschlichen Verhaltensdaten trainiert sind), aber sie 'denken' nicht (zumindest nicht im klassisch menschlichen Sinn).","Teils teils, manche Anfragen können möglicherweise nur durch die Wissensdatenbank im Hintergrund abgedeckt werden (dann in gewisser Weise ja), ansonsten suchen ChatBots meines Wissens nach selber im bereitgestellten Indizes oder in Suchmaschinen.",25,NA,2,2,NA,"SM"
"26",4,5,1,1,"männlich",31,"Bachelor","Masterstudium Lehramt Deutsch und Geschichte","Eine Prompt wird abgeschickt, verarbeitet, analysiert, die Wahrscheinlichkeit der passenden Antwort berechnet, die notwendigen Bestandteile zusammengesetzt und ein Ergebnis zurückgeführt.","1-6 Mal pro Woche","Schreiben, Praktische Hilfestellung, Erstellen von Unterrichtsmaterialien für die Schule",3,"Claude, Canva.ai","Mit dem nötigen Wissen um die Funktion solcher Tools kann man zwar grob nachvollziehen, wie sie arbeiten, kann aber bei einer Anfrage meist nicht exakt rekonstruieren, wie das Tool zu seinem Ergebnis gekommen ist.","Diese Tools wissen und lernen nichts, sie berechnen aus ihrer vorhanden Datenbasis das Ergebnis mit der höchsten Erfolgswahrscheinlichkeit.",NA,"KI-Tools nutzen Suchmaschinen, sind per se aber keine.",26,2,NA,NA,2,"SM"
"27",5,5,1,4,"männlich",31,"Master","Mathematik","Das LLM nimmt eine Anfrage entgegen, erzeugt Tokens, welche dann durch das Netz verarbeitet werden. So wird ein textueller Output generiert. Bei erneutem Antworten wird der aktuelle Kontext mit berüchsichtigt, sodass der Eindruck einer echten Kommunikation entsteht.","Mindestens 1 Mal pro Tag","Schreiben, Praktische Hilfestellung, Technische Hilfe, Multimedia, Informationssuche",5,"ChatGPT, Copilot, Gemini, Grok, DeepSeek, diverse uncensored Modelle",NA,NA,NA,NA,27,2,NA,NA,2,"SM"
